Tweets,Type,Url
"How to lose the publics trust 2 weeks to flatten the curve, LIE. Cloth/paper mask will stop a virus, LIE. The Covid  will stop you from getting Covid, LIE. Try to hide the clinical trails for years  Threaten, harass & fire any",1,https://twitter.com/NicoleGun09/status/1519298203866259456
"Grifters gonna grift.

Remember, when antivax cult members tell you to follow the money, that many of the cult leaders are making themselves wealthy.",0,https://twitter.com/ParkinJim/status/1520375320540504065
"With the modern #antivax paranoia about computer chips, this is as a poorly timed announcement.",0,https://twitter.com/MasterDebateNet/status/1518273094653255690
"Sorry 
@Daily_Express
 how how the hell does 
@thelucyjohnston
 remain your health and social editor when she is constantly sharing antivax disinformation.",0,https://twitter.com/karamballes/status/1517957328624103429
Antivax or anti untested-dodgy-pharma-product that doesn't work and costs nations $billions?,1,https://twitter.com/JeffreyPeel/status/1518666064514662400
"All of their covid patients in hospital right now are vaccinated. Does this not ring any alarm bells? Its not the unvaccinated in the hospital, its vaccinated in the hospital. #WakeUp #SCAMDEMIC2021 #Covidisalie #CovidVacc",1,https://twitter.com/Lilbirdgirl79/status/1441545109120581634
Your daily reminder...a genuinely deadly pandemic doesn't require 24/7 advertising to remind you it  exists. Real pandemics don't need marketing campaigns and endless propaganda...but psychological operations DO.,1,https://twitter.com/DivocSuriv/status/1375835597542150145
What in the Third Reich Fuck?,1,https://twitter.com/JimBeamcool/status/1520209086738014209
Worldwide Awakening! The corrupt lies MUST be exposed on order to wake the REST of you with your heads in the sand. #covid #afghanistan #biden #deltavariant #covidisalie #covidisascam #covidiot #covidmeme #vaccine #vaxxed #plandemic #scamdemic,1,https://twitter.com/NOdogmeatNO/status/1427485708781072390
"Ill tell you why, its because you are being lied to. How long are you going to Let the government dictate to you how to live your life.
Fauci belongs in prison!
#vaccinations
",1,https://twitter.com/nvraine/status/1452406253833969667
"The truth always floats to the surface. The question is, will we acknowledge it or deny its existence? #truth #freedom #constitution #stopthemandates #covid",1,https://twitter.com/the9stripes/status/1494129027967184896
